PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
Hotel,DOWNTOWN,1.0,12,88434,7456910.0,1,1,1,98
Hotel,DOWNTOWN,1.0,11,88502,8664479.0,0,1,1,29
Hotel,DOWNTOWN,1.0,10,61320,6946800.5,1,1,1,99
Hotel,DOWNTOWN,1.0,18,113580,14656503.0,0,1,1,45
Other,DOWNTOWN,1.0,2,60090,12581712.0,0,1,1,26
Hotel,DOWNTOWN,1.0,11,83008,6062767.5,0,1,1,99
Other,DOWNTOWN,1.0,8,102761,7067881.5,1,1,1,99
Hotel,DOWNTOWN,1.0,15,163984,14194054.0,0,1,1,121
Hotel,DOWNTOWN,1.0,9,65009,6358719.5,1,1,1,97
Hotel,DOWNTOWN,1.0,11,66990,11179203.0,1,1,1,103
Other,DOWNTOWN,1.0,6,103911,10192124.0,1,1,1,95
Mixed Use Property,DOWNTOWN,1.0,5,57452,7877219.0,1,1,1,118
Hotel,DOWNTOWN,1.0,10,104352,10154608.0,1,1,1,109
K-12 School,SOUTHEAST,1.0,2,56228,1713623.5,0,1,1,64
Hotel,NORTHEAST,1.0,6,58006,3673186.75,0,1,1,24
University,DOWNTOWN,1.0,7,126593,12183313.0,0,1,1,97
Other,DOWNTOWN,1.0,2,67224,1310236.625,0,1,0,95
Hotel,EAST,1.0,8,128375,5424942.0,0,1,1,34
Hotel,DOWNTOWN,1.0,10,133585,11171407.0,0,1,1,24
Hotel,DOWNTOWN,1.0,5,52210,4557974.0,0,1,1,47
K-12 School,NORTH,1.0,2,160645,7800349.5,0,1,1,76
Small- and Mid-Sized Office,LAKE UNION,1.0,3,87262,4703690.0,0,1,1,119
Hotel,NORTHEAST,1.0,4,81871,6731281.5,0,1,1,31
Self-Storage Facility,NORTHEAST,1.0,2,110356,326223.0938,0,1,1,70
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2,54986,1802471.375,0,1,1,35
K-12 School,NORTHEAST,1.0,2,175565,7329817.5,0,1,1,75
Small- and Mid-Sized Office,BALLARD,1.0,2,94900,6536359.5,0,1,1,64
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,52554,3150635.5,0,1,1,125
K-12 School,NORTHWEST,1.0,3,175015,7886505.5,0,1,1,71
Self-Storage Facility,DOWNTOWN,1.0,3,70586,2331573.25,0,1,1,114
Large Office,DOWNTOWN,1.0,5,168115,9536161.0,0,1,0,52
Other,DOWNTOWN,1.0,2,57428,1239429.75,0,1,1,105
Small- and Mid-Sized Office,DOWNTOWN,1.0,8,59400,5242479.5,0,1,0,115
Hotel,DOWNTOWN,1.0,20,88591,5078816.0,0,1,1,95
Hotel,DOWNTOWN,1.0,7,71150,5348309.0,0,1,1,40
Hotel,DOWNTOWN,1.0,7,122810,6088417.5,0,1,1,117
Hotel,LAKE UNION,1.0,5,70627,5428403.5,0,1,1,66
Hotel,LAKE UNION,1.0,7,115718,6835263.5,0,1,1,25
Hotel,LAKE UNION,1.0,6,88100,5941927.0,0,1,1,28
Hotel,MAGNOLIA / QUEEN ANNE,1.0,6,118858,6849826.5,0,1,1,27
K-12 School,EAST,1.0,3,56072,3800842.5,0,1,1,114
Hotel,MAGNOLIA / QUEEN ANNE,1.0,4,78051,5387530.0,0,1,1,26
Small- and Mid-Sized Office,CENTRAL,1.0,2,54984,3630147.25,0,1,1,63
Hotel,LAKE UNION,1.0,6,63371,3787499.0,0,1,1,17
Hotel,EAST,1.0,7,76631,7250730.5,0,1,1,117
Retail Store,LAKE UNION,1.0,2,58320,1243027.75,0,1,1,96
Large Office,LAKE UNION,1.0,5,316306,13909270.0,0,1,1,15
Other,MAGNOLIA / QUEEN ANNE,1.0,1,91213,8181881.0,1,1,0,63
Other,MAGNOLIA / QUEEN ANNE,1.0,2,52000,2682242.75,1,1,0,63
Other,MAGNOLIA / QUEEN ANNE,1.0,1,60696,875943.3125,0,1,0,97
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,63888,4192107.75,0,1,0,39
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,50283,3647345.75,0,1,1,55
Hotel,MAGNOLIA / QUEEN ANNE,1.0,6,59976,5274523.0,0,1,1,23
Hotel,NORTHEAST,2.0,4,50017,5528580.5,0,1,1,63
K-12 School,EAST,1.0,3,67743,3036464.0,0,1,1,102
K-12 School,EAST,1.0,6,194104,7204080.0,0,1,1,117
Small- and Mid-Sized Office,SOUTHEAST,1.0,3,63681,4980737.5,0,1,0,22
